Year,TempLA,TempNYC
1921,17.25013699,12.75109589
1922,17.8549505,12.00136986
1923,17.63465753,11.66575342
1924,17.46693989,11.08784153
1925,17.72808219,11.93763736
1926,18.37707182,10.77286501
1927,17.42630137,11.93246575
1928,17.87472527,11.96115702
1929,18.17123288,12.32808219
1930,18.29068493,12.5330137
1931,19.19479452,13.26561644
1932,17.53620219,12.90096154
1933,16.92013699,12.44709945
1934,18.81643836,11.73315068
1935,17.57197802,11.7390411
1936,18.43401639,11.94002732
1937,17.53534247,12.54642857
1938,17.99705056,12.93835616
1939,18.56085165,12.62821918
1940,18.34002732,11.04616438
1941,17.77983193,12.78082192
1942,17.5239726,12.31071429
1943,17.91739726,12.11767123
1944,16.7807377,12.63753425
1945,17.27438356,12.30780822
1946,17.36780822,13.04027397
1947,17.82821918,12.1590411
1948,17.2010929,12.3169863
1949,17.43739726,13.88131868
1950,17.67753425,12.07637363
1951,17.54849315,12.81547945
1952,17.55833333,13.23620219
1953,18.13630137,13.94779614
1954,18.28054795,12.73767123
1955,17.60849315,12.68255495
1956,18.1863388,11.95724044
1957,18.74794521,13.08131868
1958,19.46917808,11.46863014
1959,19.65109589,13.06027397
1960,18.70027322,12.23196721
1961,18.50575342,12.83958904
1962,17.36493151,11.95863014
1963,18.40589041,12.04657534
1964,17.5784153,12.55519126
1965,17.96438356,12.37712329
1966,18.9130137,12.84684932
1967,19.13876712,11.70575342
1968,19.00095628,12.28483607
1969,18.57273973,12.70219178
1970,18.94109589,12.42027397
1971,18.39013699,12.93972603
1972,19.17964481,12.17254098
1973,18.32753425,13.43082192
1974,18.50493151,12.66068493
1975,17.25726027,12.79068493
1976,18.4318306,11.85969945
1977,18.80835616,12.45835616
1978,18.64136986,11.70712329
1979,18.56328767,13.25178082
1980,19.84139344,12.78374317
1981,20.4939726,12.91287671
1982,18.61328767,12.74917808
1983,20.50273973,13.36219178
1984,20.25532787,13.03032787
1985,18.86552239,13.11082192
1986,19.84178082,12.98328767
1987,18.90712329,12.90328767
1988,18.95642077,12.67431694
1989,19.27342466,12.23465753
1990,19.73232877,14.04821918
1991,18.78986301,14.04917808
1992,19.97650273,12.19508197
1993,19.89119403,13.11315068
1994,19.77561644,12.95260274
1995,19.89438356,13.01150685
1996,19.79221311,12.08142077
1997,20.18753425,12.41424658
1998,18.97013699,14.01493151
1999,17.90958904,13.63958904
2000,18.39057377,12.13142077
2001,17.81931507,13.49849315
2002,18.01191781,13.6
2003,18.61027397,11.95315068
2004,18.5704918,12.51584699
2005,18.39287671,13.21986301
2006,19.31082192,13.84150685
2007,18.67616438,12.87849315
2008,19.10710383,12.99180328
2009,19.01589041,12.2739726
2010,18.73287671,13.78369863
2011,17.7669863,13.62068493
2012,18.5989071,14.09357923
2013,18.74435262,13.03315068
2014,20.12125,12.51465753
2015,20.28527778,13.80972603
2016,19.69606742,14.01680328
2017,20.68111455,14.78353659
