Year,AvgTemp,Snowfall,Rainfall
1917,10.54724518,1235,1024.6
1918,11.82520548,518,972.8
1919,12.12582418,315,1354.7
1920,11.28647541,1030,1352.4
1921,12.75109589,615,960
1922,12.00136986,747,1135
1923,11.66575342,1344,1030.5
1924,11.08784153,683,1059.9
1925,11.93763736,775,1052.9
1926,10.77286501,1078,1213.4
1927,11.93246575,323,1424
1928,11.96115702,367,1148.8
1929,12.32808219,462,1026.6
1930,12.5330137,332,990.7
1931,13.26561644,205,916.7
1932,12.90096154,320,1115.7
1933,12.44709945,840,1360
1934,11.73315068,954,1265.7
1935,11.7390411,1069,860.8
1936,11.94002732,691,1266.1
1937,12.54642857,358,1338.1
1938,12.93835616,715,1232.9
1939,12.62821918,659,979.2
1940,11.04616438,707,1145.4
1941,12.78082192,868,991.6
1942,12.31071429,496,1232.5
1943,12.11767123,533,933.7
1944,12.63753425,774,1144
1945,12.30780822,1010,1142.9
1946,13.04027397,342,974.6
1947,12.1590411,1512,1036.6
1948,12.3169863,1642,1190.2
1949,13.88131868,471,920.2
1950,12.07637363,407,935
1951,12.81547945,223,1111.9
1952,13.23620219,665,1056.1
1953,13.94779614,195,1119.9
1954,12.73767123,350,904.7
1955,12.68255495,378,1012.6
1956,11.95724044,767,921.6
1957,13.08131868,757,927.5
1958,11.46863014,1011,1040.2
1959,13.06027397,650,984.9
1960,12.23196721,1057,1179.3
1961,12.83958904,1112,999.7
1962,11.95863014,382,944
1963,12.04657534,585,871.6
1964,12.55519126,927,838.8
1965,12.37712329,540,663.5
1966,12.84684932,773,1013.8
1967,11.70575342,1300,1248.2
1968,12.28483607,453,1107.4
1969,12.70219178,763,1232.8
1970,12.42027397,540,896.9
1971,12.93972603,333,1442.5
1972,12.17254098,581,1703
1973,13.43082192,142,1454.1
1974,12.66068493,532,1212.6
1975,12.79068493,388,1555
1976,11.85969945,511,1049.4
1977,12.45835616,507,1390.1
1978,11.70712329,1342,1265.3
1979,13.25178082,768,1324.7
1980,12.78374317,307,1132.7
1981,12.91287671,475,968.3
1982,12.74917808,648,1051.8
1983,13.36219178,656,2046.4
1984,13.03032787,746,1449.7
1985,13.11082192,495,986.6
1986,12.98328767,323,1091.9
1987,12.90328767,667,1180.1
1988,12.67431694,399,1135.4
1989,12.23465753,355,1654.1
1990,14.04821918,368,1547.8
1991,14.04917808,468,1147.9
1992,12.19508197,311,1101.5
1993,13.11315068,787,1124.9
1994,12.95260274,1182,1203.7
1995,13.01150685,667,1027.1
1996,12.08142077,1557,1428.1
1997,12.41424658,251,1117.4
1998,14.01493151,191,1237.4
1999,13.63958904,273,1055
2000,12.13142077,755,1154.9
2001,13.49849315,550,905.9
2002,13.6,368,1149.3
2003,11.95315068,1476,1484.7
2004,12.51584699,657,1319.2
2005,13.21986301,1212,1422.1
2006,13.84150685,770,1521.5
2007,12.87849315,390,1567.9
2008,12.99180328,381,1362.4
2009,12.2739726,863,1362.4
2010,13.78369863,1501,1254.7
2011,13.62068493,1134,1850.3
2012,14.09357923,243,979
2013,13.03315068,754,1177.3
2014,12.51465753,1269,1366.6
2015,13.80972603,1247,1041
2016,14.01680328,915,1072.2
2017,14.78353659,685,1087.7
